15,22,0
16,22,0
17,22,0
15,21,0
16,21,0
17,21,0
14,20,0
15,20,0
16,20,0
17,20,0
18,20,0
5,19,0
6,19,0
12,19,0
13,19,0
19,19,0
20,19,0
4,18,0
5,18,0
7,18,0
11,18,0
12,18,0
13,18,0
14,18,0
15,18,0
16,18,0
17,18,0
18,18,0
19,18,0
20,18,0
21,18,0
5,17,0
7,17,0
8,17,0
10,17,0
11,17,0
21,17,0
22,17,0
23,17,0
24,17,0
5,16,0
8,16,0
9,16,0
10,16,0
22,16,0
23,16,0
25,16,0
26,16,0
5,15,0
6,15,0
9,15,0
22,15,0
23,15,0
24,15,0
26,15,0
27,15,0
6,14,0
9,14,0
23,14,0
25,14,0
27,14,0
6,13,0
9,13,0
23,13,0
25,13,0
27,13,0
6,12,0
7,12,0
9,12,0
23,12,0
24,12,0
26,12,0
27,12,0
7,11,0
8,11,0
9,11,0
23,11,0
25,11,0
26,11,0
9,10,0
23,10,0
24,10,0
25,10,0
9,9,0
10,9,0
22,9,0
10,8,0
21,8,0
22,8,0
11,7,0
12,7,0
13,7,0
14,7,0
15,7,0
16,7,0
17,7,0
18,7,0
19,7,0
20,7,0
21,7,0
