22,25,0
22,24,0
23,24,0
21,23,0
22,23,0
23,23,0
24,23,0
20,22,0
21,22,0
22,22,0
23,22,0
24,22,0
25,22,0
19,21,0
20,21,0
25,21,0
26,21,0
19,20,0
26,20,0
27,20,0
19,19,0
26,19,0
27,19,0
19,18,0
25,18,0
26,18,0
18,17,0
19,17,0
25,17,0
14,16,0
15,16,0
16,16,0
17,16,0
18,16,0
25,16,0
12,15,0
13,15,0
14,15,0
15,15,0
25,15,0
11,14,0
12,14,0
24,14,0
25,14,0
11,13,0
24,13,0
25,13,0
10,12,0
11,12,0
14,12,0
15,12,0
16,12,0
24,12,0
10,11,0
16,11,0
17,11,0
23,11,0
24,11,0
10,10,0
17,10,0
20,10,0
23,10,0
10,9,0
17,9,0
20,9,0
23,9,0
5,8,0
6,8,0
7,8,0
10,8,0
17,8,0
20,8,0
23,8,0
4,7,0
5,7,0
10,7,0
17,7,0
18,7,0
19,7,0
20,7,0
23,7,0
24,7,0
4,6,0
10,6,0
19,6,0
20,6,0
24,6,0
4,5,0
5,5,0
10,5,0
20,5,0
21,5,0
24,5,0
25,5,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,0
24,4,0
